YEAR JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC JF MAM JJAS OND ANN
1871 11 233 688 1511 2343 3380 4032 3782 2896 1343 136 16 244 4542 14090 1495 20371
1872 98 214 435 1089 2202 3215 4324 3229 3907 1976 38 37 312 3725 14675 2051 20764
1873 75 182 713 1292 1317 3357 3411 3101 1789 399 62 67 257 3322 11658 528 15764
1874 352 761 646 1150 2602 3379 4148 2892 3750 2389 196 2 1113 4398 14168 2587 22267
1875 403 118 979 1456 2461 4835 3960 4997 1965 599 63 68 521 4896 15757 730 21904
1876 63 156 881 889 2488 4457 3879 3725 2401 1515 424 58 219 4258 14462 1997 20936
1877 381 418 903 1046 2643 2436 4244 3476 3492 758 123 164 798 4592 13648 1045 20084
1878 119 308 594 1297 2352 3580 4015 4934 4285 1362 486 81 426 4243 16814 1929 23413
1879 38 197 149 532 2692 4531 4173 3714 3623 1340 10 143 235 3373 16041 1493 21142
1880 273 604 1404 1220 2104 5341 3646 4154 2482 1515 90 150 877 4728 15622 1755 22983
1881 14 91 995 1632 2876 3596 3777 4006 3719 1077 165 42 105 5503 15098 1284 21990
1882 91 602 819 1024 2270 3675 2889 3971 2803 2855 378 52 693 4113 13338 3285 21429
1883 192 104 618 1065 3352 3495 3529 4394 2381 381 78 628 296 5035 13799 1087 20217
1884 89 286 631 1487 2440 3389 3045 3272 1990 1390 215 29 375 4558 11696 1634 18263
1885 81 305 639 1191 1693 3597 4181 3614 3822 937 266 140 386 3523 15214 1342 20466
1886 49 75 848 955 2118 3699 4857 4146 3795 1070 25 80 124 3921 16497 1175 21717
1887 479 37 1221 1118 2421 4567 2899 3277 2601 737 246 0 516 4760 13344 982 19602
1888 251 377 870 1887 2392 3246 4038 4085 2190 752 215 0 628 5149 13559 967 20303
1889 265 363 361 1117 2112 4547 3794 2744 3335 924 648 15 628 3590 14420 1587 20225
1890 170 23 824 1121 1678 4578 4466 3382 2577 1839 80 95 193 3623 15003 2014 20832
1891 58 419 794 1033 3155 2841 3832 3175 2240 434 401 2 477 4982 12088 837 18384
1892 57 300 498 2111 3142 3008 3783 3819 2294 1235 463 46 357 5751 12904 1744 20756
1893 266 636 839 1487 3375 4719 4579 3501 3118 1538 67 23 902 5701 15917 1628 24148
1894 23 401 1058 1220 2424 4000 3352 3890 3439 2238 791 129 423 4702 14681 3158 22965
1895 79 76 579 1605 2470 2761 4964 3365 2619 1080 168 259 155 4654 13709 1507 20025
1896 152 481 464 1329 2203 2715 3488 2707 2489 196 49 18 633 3995 11399 263 16291
1897 41 183 1060 617 2419 3453 3498 3839 3609 1847 244 7 224 4095 14399 2098 20817
1898 128 328 147 864 1563 4452 3389 4262 3052 1735 28 67 456 2574 15155 1830 20015
1899 225 337 679 1300 2582 4413 4728 3893 3373 1496 90 75 562 4561 16407 1661 23191
1900 69 424 829 1638 1995 3451 3894 2266 2982 657 50 61 493 4462 12593 767 18316
1901 245 272 196 1481 1298 3812 3313 3658 2830 1431 869 14 517 2975 13613 2314 19419
1902 29 47 595 2265 2041 4069 3871 3679 3634 956 86 46 76 4901 15253 1088 21318
1903 135 275 843 620 1305 4351 2752 4091 2864 1645 419 3 410 2768 14058 2067 19303
1904 49 431 399 2732 2466 3297 4044 3669 2280 930 465 27 480 5597 13290 1422 20789
1905 174 309 1462 1289 1988 3113 4380 5319 2703 1786 67 164 483 4738 15515 2017 22754
1906 156 779 787 1313 2048 3248 4116 4525 3158 1408 306 11 935 4148 15047 1725 21855
1907 253 305 1023 1574 1538 3816 3992 2591 2982 314 44 226 558 4135 13381 584 18658
1908 178 177 103 891 2173 3394 4455 2645 3045 832 193 0 355 3167 13539 1025 18086
1909 122 60 23 1586 1903 4720 2718 4626 2296 1493 309 235 182 3512 14360 2037 20091
1910 117 201 681 1202 1815 4247 4967 3316 2770 1725 96 20 318 3698 15300 1841 21157
1911 418 87 593 1409 2663 4071 3868 3268 2948 1834 126 8 505 4665 14155 1968 21293
1912 64 381 985 1958 1882 2971 4512 3448 2147 1472 746 37 445 4825 13078 2254 20603
1913 51 735 741 1563 2883 4751 4288 3287 2183 1796 188 245 786 5186 14509 2229 22711
1914 26 596 570 1854 2473 3021 3753 3954 2131 670 76 282 622 4897 12859 1028 19406
1915 85 363 781 1313 3971 3623 4481 4106 2368 1309 342 12 448 6065 14578 1662 22753
1916 81 157 305 1589 1846 3793 3486 3761 3181 2838 489 25 238 3740 14221 3351 21550
1917 24 651 291 1406 1627 4216 4084 2969 2870 2438 405 8 675 3324 14139 2850 20989
1918 35 60 762 1086 2337 5255 5085 4877 2712 500 64 19 95 4185 17929 583 22791
1919 218 149 186 1049 1894 3725 3665 2982 2917 1082 488 9 366 3129 13288 1579 18364
1920 29 372 1634 986 1677 3064 3126 3866 3313 1309 39 17 401 4297 13368 1364 19432
1921 328 124 1076 1783 2413 4004 4327 3893 2928 1437 70 52 451 5272 15152 1559 22435
1922 115 38 378 894 1445 4862 3410 4102 2600 1045 161 44 153 2717 14974 1250 19094
1923 1 660 234 1449 2277 4191 3452 3279 2577 1023 316 37 661 3960 13499 1376 19496
1924 56 217 96 1338 2136 3600 4647 3472 2830 1057 1254 5 273 3570 14549 2316 20707
1925 172 185 385 1608 3248 2795 3596 3357 2660 1418 148 3 357 5241 12408 1569 19575
1926 267 230 1259 1004 1964 3413 5032 3570 2381 1350 99 288 497 4227 14396 1737 20857
1927 345 681 452 1766 2074 3645 4054 3186 3942 1224 178 0 1026 4292 14827 1402 21547
1928 106 176 301 905 2676 3994 3785 3784 2419 2390 129 12 282 3882 13982 2531 20677
1929 546 86 661 1898 3128 4882 3774 3467 2483 1982 81 240 632 5686 14606 2303 23228
1930 141 338 695 1196 1625 4521 3437 3536 2568 936 1312 17 479 3516 14062 2264 20321
1931 38 410 404 1251 2393 4061 4914 2655 2770 1706 379 142 448 4048 14400 2227 21122
1932 93 335 440 1191 3159 3982 3787 3444 2506 771 1045 113 428 4790 13719 1929 20865
1933 119 255 150 1478 2171 3646 3647 4729 2222 1173 47 40 374 3799 14244 1260 19677
1934 100 690 180 1571 2559 5325 4143 2987 2361 1734 571 102 790 4310 14816 2407 22323
1935 57 356 370 811 1570 4465 3080 4787 2585 435 93 9 413 2751 14917 537 18618
1936 96 402 519 1258 3840 3708 4343 3417 2946 1547 142 92 498 5617 14414 1780 22310
1937 22 638 122 552 2768 3572 3281 4240 2637 1541 111 217 660 3441 13730 1869 19700
1938 219 184 664 1088 2967 4006 3716 4132 2871 1214 535 5 403 4719 14725 1754 21601
1939 39 298 194 977 2095 3982 4311 2986 3308 1789 135 23 337 3266 14587 1947 20137
1940 12 448 1496 372 2660 3459 3482 3539 3171 944 155 123 460 4528 13651 1222 19861
1941 291 291 290 1497 3511 4847 3754 3244 2452 1798 432 51 582 5298 14297 2281 22458
1942 41 182 650 1761 2573 4176 3143 3663 3865 830 591 0 223 4984 14847 1421 21475
1943 482 355 934 1597 2008 3757 3790 3743 3251 833 34 14 837 4539 14541 881 20797
1944 508 191 468 1062 2508 3365 3786 3662 3067 833 24 36 699 4038 13880 893 19510
1945 425 302 422 1090 2335 3920 3637 3713 2609 2254 68 102 727 3847 13879 2424 20877
1946 4 158 927 1923 2255 4028 4711 2793 2587 3480 139 119 162 5105 14118 3738 23123
1947 34 70 535 1376 2675 4431 4987 3359 3487 1985 25 242 104 4586 16264 2252 23206
1948 303 443 448 1691 4426 3706 4162 3660 3094 1890 821 28 746 6565 14622 2739 24672
1949 134 143 353 2628 3210 4172 3745 3762 3106 1342 79 64 277 6191 14785 1484 22737
1950 74 359 516 582 2058 5090 3500 4317 2083 1503 828 23 433 3156 14990 2354 20933
1951 21 5 440 1396 1853 4803 4885 3357 1841 2294 393 26 26 3689 14886 2713 21314
1952 36 49 683 1529 3217 3327 4842 3534 3043 2805 388 6 85 5429 14746 3199 23459
1953 225 185 1016 891 2718 3938 4169 3315 3936 968 258 45 410 4625 15357 1271 21664
1954 120 438 179 1010 2445 4153 3805 3734 2367 1695 5 205 558 3634 14058 1905 20156
1955 68 58 847 1359 2134 3746 4972 3355 2308 1412 1165 52 126 4340 14381 2629 21475
1956 188 107 965 1097 3649 5741 3718 4057 2531 1594 395 94 295 5711 16047 2083 24135
1957 628 309 169 798 2156 3662 3357 3049 2549 883 63 37 937 3123 12617 983 17660
1958 135 341 126 1230 3271 2787 3152 3757 2894 1367 50 71 476 4627 12590 1488 19180
1959 368 399 853 794 2443 3338 3090 2973 2889 3572 45 6 767 4090 12290 3623 20770
1960 2 60 394 279 2297 3273 4779 3316 3934 969 289 20 62 2970 15302 1278 19612
1961 103 373 1570 750 2467 3632 3142 3100 2726 1119 232 28 476 4787 12600 1379 19242
